2017-01-17 12:20:23,837 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:20:23,837 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 12:20:30,796 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:20:30,796 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 12:20:30,811 [Worker-53] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:20:30,811 [Worker-53] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 12:22:30,909 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:22:30,911 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 12:22:30,917 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:22:30,919 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 12:22:41,432 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:22:41,436 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 12:22:41,446 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:22:41,447 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 12:23:12,982 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:23:12,984 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 12:23:12,988 [Worker-58] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 12:23:12,990 [Worker-58] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:34:02,005 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:34:02,020 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:34:02,036 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:34:02,067 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:34:34,521 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:34:34,521 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:34:34,537 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:34:34,537 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:36:53,164 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:36:53,164 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:36:53,165 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:36:53,165 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:37:26,277 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:37:26,292 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:37:26,292 [Worker-76] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:37:26,292 [Worker-76] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:37:45,841 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:37:45,857 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:37:45,857 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:37:45,857 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:43:18,508 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:43:18,508 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:43:18,508 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:43:18,508 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:45:05,031 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:45:05,031 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:45:05,047 [Worker-74] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:45:05,063 [Worker-74] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:48:22,823 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:48:22,829 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:48:22,834 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:48:22,836 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:52:06,394 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:52:06,397 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:52:06,401 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:52:06,404 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:55:10,829 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:55:10,845 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 13:55:10,845 [Worker-82] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:55:10,845 [Worker-82] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:57:44,214 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:57:44,214 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 13:57:44,214 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 13:57:44,214 [Worker-77] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 14:00:37,156 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 14:00:37,156 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 14:00:37,156 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 14:00:37,156 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 14:02:52,708 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 14:02:52,708 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-01-17 14:02:52,708 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-17 14:02:52,708 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-01-17 14:05:21,633 [Worker-77] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
